Crop,Variety name/code,Official Release Name,Year of release in Kenya,Owner(s)/ Licensee,Maintainer and seed source,Optimal production altitude range (Masl),Duration to maturity (month s),Grain yield (t ha-1),Special attributes
WHEAT,"1. Kenya
Temb
o","Kenya
Tembo",1975,"KARI/Keny
a Seed Co.","KARI/Keny
a Seed Co.",1800-2100,4-5,1.3 -1.8, Lodging resistance
WHEAT,"2. Kenya
Kong
oni","Kenya
Kongoni",1975,"KARI/Keny
a Seed Co.","KARI/Keny
a Seed Co.",1800-2700,4-5,1.3 -1.6, Acid soil tolerant
WHEAT,"3. Kenya
Fahari","Kenya
Fahari",1977,"KARI/Keny
a Seed Co.","KARI/Keny
a Seed Co.",1800-2400,3-5,1.1-1.6," Resistant to Russian
wheat aphid"
WHEAT,"4. Kenya
Nyum
bu","Kenya
Nyumbu",1982,"KARI/Keny
a Seed Co.",KARI,1800-2100,4-5,1.3 -1.8, Resistant to stem rust
WHEAT,"5. Kenya
Mbun
i","Kenya
Mbuni",1987,"KARI/Keny
a Seed Co.","KARI/Keny
a Seed Co.",1800-2400,4-5,2.8-6.0, High yielding
WHEAT,"6. Kenya
Kwale","Kenya
Kwale",1987,"KARI/Keny
a Seed Co.","KARI/Keny
a Seed Co.",2100 - 2400,4-5,2.8 -6.7," High yielding
 Tolerant to sprout"
WHEAT,"7. Kenya
Pasa","Kenya
Pasa",1989,"KARI/Keny
a Seed Co.","KARI/Keny
a Seed Co.",1800-2400,4-5,2.3-6.7," High yield
 Resistant to lodging"
WHEAT,"8. Kenya
Chirik
u","Kenya
Chiriku",1989,"KARI/Keny
a Seed Co.","KARI/Keny
a Seed Co.",1800-2400,4-5,2.6-6.0, Resistant to rust
WHEAT,"9. Kenya
Duma","Kenya
Duma",1998,KARI,KARI Njoro,<1800,2-3,2.0 - 3.4," Drought tolerant &
Early maturity"
WHEAT,"10. Kenya
Mbeg
a","Kenya
Mbega",1998,KARI,KARI,1800-2100,4-5,3.0 -6.8," High yielding
 Resistant to leaf rust"
WHEAT,"11. Ngam
ia",Ngamia,1998,KARI,KARI,1800-2400,3-4,1.8 -3.6, Drought tolerant
WHEAT,"12. Kenya
Chozi","Kenya
Chozi",1999,KARI,KARI,1500-1800,4-5,2.3 -5.6, Drought tolerant
